word	primary_house	houses	ambiguous	sources
clever clogs	5	5	no	intellect(H5)
clever dick	5	5	no	intellect(H5)
cleverness	5	5	no	creativity(H5); intelligence(H5)
client	7	7	no	client(H7); customer(H7)
cliff dwelling	4	4	no	home(H4); dwelling(H4)
climate	10	10	no	status(H10)
clink	12	12	no	jail(H12)
cloister	4	4	no	residence(H4)
close call	10	10	no	achievement(H10)
close shave	10	10	no	achievement(H10)
closed book	8	8	no	mystery(H8); secret(H8)
closing off	12	12	no	isolation(H12)
cloud	8	8,11	yes	hidden(H8); group(H11)
clowning	5	5	no	fun(H5)
club car	4	4	no	car(H4)
clunch	4	4	no	soil(H4)
coach	4	4,9,10	yes	car(H4); teacher(H9); manager(H10)
coach dog	6	6	no	dog(H6)
coaching	6	6	no	work(H6)
coaching job	6	6	no	work(H6)
coastland	4	4	no	land(H4); soil(H4)
cobber	3	3	no	brother(H3)
cobbling	7	7	no	trade(H7)
coconut	2	2	no	food(H2)
coconut meat	2	2	no	food(H2)
cocoyam	4	4	no	roots(H4)
coeducation	5	5	no	education(H5)
cog	6	6	no	subordinate(H6)
cognoscente	10	10	no	authority(H10)
coincidence	8	8	no	accident(H8)
coinsurance	8	8	no	insurance(H8)
colic	6	6	no	pain(H6)
collaborator	7	7	no	partner(H7)
collage film	5	5	no	movie(H5); film(H5)
collapse	6	6	no	illness(H6); sickness(H6)
collection	11	11	no	group(H11)
collective agreement	7	7	no	contract(H7)
collective bargaining	7	7	no	negotiation(H7)
collective security	4	4	no	peace(H4)
collectivisation	1	1	no	constitution(H1)
collectivization	1	1	no	constitution(H1)
college	1	1	no	body(H1)
college of cardinals	1	1	no	body(H1)
collision	8	8	no	accident(H8)
colloquium	2	2	no	speech(H2)
colonisation	1	1	no	constitution(H1)
colonization	1	1	no	constitution(H1)
colony	1	1,4	yes	body(H1); property(H4)
color	1	1	no	appearance(H1)
colour	1	1	no	appearance(H1)
combat injury	6	6	no	injury(H6)
combat pay	2	2	no	earnings(H2)
comedy	5	5	no	fun(H5)
comer	6	6	no	competitor(H6); rival(H6)
comestible	2	2	no	food(H2)
comfort	4	4,10	yes	comfort(H4); status(H10)
comfort food	2	2	no	food(H2)
comfortableness	4	4,10	yes	comfort(H4); status(H10)
coming attraction	5	5	no	movie(H5); film(H5)
coming back	11	11	no	return(H11)
coming into court	1	1	no	appearance(H1)
command	10	10	no	status(H10); authority(H10)
commandment	9	9	no	philosophy(H9)
commencement	1	1	no	beginning(H1)
commendation	10	10	no	honor(H10)
commercial treaty	7	7	no	treaty(H7)
commissariat	2	2	no	food(H2)
commission	8	8	no	operation(H8)
commitment	12	12	no	confinement(H12)
committal	12	12	no	confinement(H12)
committal service	6	6	no	service(H6)
committal to memory	5	5	no	learning(H5)
common shares	5	5	no	stock(H5)
common stock	5	5	no	stock(H5)
common stock equivalent	5	5	no	stock(H5)
common-law marriage	7	7	no	marriage(H7)
commonage	4	4	no	property(H4)
commons	4	4	no	estate(H4)
communicable disease	6	6	no	disease(H6)
communicating	3	3	no	communication(H3)
communication	3	3	no	communication(H3)
communication channel	3	3	no	communication(H3)
communisation	1	1	no	constitution(H1)
community	7	7,11	yes	agreement(H7); group(H11); community(H11)
community of interests	7	7	no	agreement(H7)
community of scholars	10	10	no	profession(H10)
community property	4	4	no	property(H4)
community service	6	6	no	service(H6)
communization	1	1	no	constitution(H1)
commutative group	11	11	no	group(H11)
comp	5	5	no	exam(H5)
compact	4	4	no	car(H4)
compact car	4	4	no	car(H4)
companion	11	11	no	friend(H11)
companionship	11	11	no	friendship(H11)
company	11	11	no	friendship(H11)
company man	6	6	no	employee(H6)
competition	6	6	no	competitor(H6); rival(H6)
competitor	6	6	no	competitor(H6); rival(H6)
complexion	1	1	no	appearance(H1); complexion(H1)
complication	6	6	no	disease(H6)
compliments	11	11	no	wish(H11)
compositeness	4	4	no	property(H4)
composition	3	3,4	yes	writing(H3); property(H4)
comprehensive	5	5	no	exam(H5)
comprehensive examination	5	5	no	exam(H5)
comprehensiveness	5	5	no	intelligence(H5)
comrade	11	11	no	friend(H11)
conceal	8	8	no	hidden(H8)
concealment	12	12	no	isolation(H12)
concentration	4	4	no	property(H4)
conception	1	1,5	yes	beginning(H1); creativity(H5)
concession	7	7	no	contract(H7)
conciliation	4	4	no	peace(H4)
concupiscence	11	11	no	desire(H11)
concurrence	7	7	no	agreement(H7)
concussion	6	6	no	injury(H6)
condemnation	10	10	no	status(H10)
condition	6	6,10	yes	illness(H6); sickness(H6); status(H10)
conditional contract	7	7	no	contract(H7)
conditioner	10	10	no	manager(H10)
conditioning	5	5	no	learning(H5)
condo	4	4	no	home(H4); dwelling(H4)
condominium	4	4	no	home(H4); dwelling(H4)
confectionery	6	6,10	yes	job(H6); occupation(H10)
confederacy	7	7	no	agreement(H7)
confidant	11	11	no	friend(H11)
confidence	8	8,11	yes	secret(H8); friendship(H11)
confinement	6	6,12	yes	labor(H6); confinement(H12)
conformance	7	7	no	agreement(H7)
conformity	7	7	no	agreement(H7)
congenital disease	6	6	no	disease(H6)
conjecture	5	5	no	speculation(H5)
conjugal family	2	2	no	family(H2)
conjugation	2	2	no	family(H2)
connection	11	11	no	friend(H11)
connectivity	4	4	no	property(H4)
connoisseur	10	10	no	authority(H10)
conscience	9	9	no	ethics(H9); morality(H9)
consensus	7	7	no	agreement(H7)
conserve	7	7	no	husband(H7)
consignment	12	12	no	confinement(H12)
consist	4	4	no	dwelling(H4)
consistence	4	4	no	property(H4)
consistency	4	4	no	property(H4)
consolation	4	4	no	comfort(H4)
consonant	3	3	no	letter(H3)
consort	7	7	no	spouse(H7); partner(H7)
conspiracy	7	7	no	agreement(H7)
constituency	1	1	no	body(H1)
constitution	1	1,4	yes	constitution(H1); property(H4)
constraint	12	12	no	confinement(H12)
constructive possession	2	2	no	possession(H2)
consult	8	8	no	research(H8)
consultant	10	10	no	authority(H10)
consulting company	4	4	no	house(H4)
consulting firm	4	4	no	house(H4)
consulting service	6	6	no	service(H6)
consume	2	2	no	eating(H2)
consumer loan	6	6	no	loan(H6)
consumption	12	12	no	expenditure(H12)
contact	3	3	no	communication(H3)
contact sport	5	5	no	sport(H5)
contagion	3	3	no	communication(H3)
contender	6	6	no	competitor(H6); rival(H6)
content	3	3	no	communication(H3)
contextualism	9	9	no	philosophy(H9)
contingency procedure	6	6	no	routine(H6)
continuing education	5	5	no	education(H5)
contract	7	7	no	contract(H7)
contract bridge	7	7	no	contract(H7)
contract of adhesion	7	7	no	contract(H7)
contract of hazard	7	7	no	contract(H7)
contract under seal	7	7	no	contract(H7)
contribution	3	3,12	yes	effort(H3); donation(H12)
control	10	10	no	status(H10)
control stock	5	5	no	stock(H5)
contusion	6	6	no	injury(H6)
convenience	4	4	no	comfort(H4)
convenience food	2	2	no	food(H2)
convent	11	11	no	community(H11)
convention	7	7	no	treaty(H7)
conversation	2	2	no	speech(H2)
conversion	8	8,12	yes	transformation(H8); salvation(H12)
convertible	4	4	no	car(H4)
conviviality	11	11	no	celebration(H11)
cooperator	7	7	no	partner(H7)
copartner	7	7	no	partner(H7)
coprophagia	2	2	no	eating(H2)
coprophagy	2	2	no	eating(H2)
coptic church	9	9	no	church(H9)
copyist	6	6	no	employee(H6)
copywriter	6	6	no	employee(H6)
corgi	6	6	no	dog(H6)
corp	4	4	no	house(H4)
corporate finance	2	2	no	finance(H2)
corporation	4	4	no	house(H4)
corps	1	1	no	body(H1)
corpse	1	1	no	body(H1)
correspondence	7	7	no	agreement(H7)
corvee	6	6	no	labor(H6)
cosiness	4	4	no	comfort(H4)
cosmetician	7	7	no	seller(H7)
cost	12	12	no	expenditure(H12)
cost-plus contract	7	7	no	contract(H7)
costalgia	6	6	no	pain(H6)
cot death	8	8	no	death(H8)
cottage	4	4	no	house(H4)
count	8	8	no	investigation(H8)
countenance	1	1	no	appearance(H1)
countersign	8	8	no	secret(H8)
countersuit	6	6	no	lawsuit(H6)
countervailing duty	6	6	no	duty(H6)
counting	8	8	no	investigation(H8)
countinghouse	10	10	no	office(H10)
country house	4	4	no	house(H4)
countryseat	4	4	no	estate(H4)
coupe	4	4	no	car(H4)
couple	2	2	no	family(H2)
courage	3	3	no	courage(H3)
courageousness	3	3	no	courage(H3)
course	5	5	no	education(H5)
course of instruction	5	5	no	education(H5)
course of study	5	5	no	education(H5)
coursework	6	6	no	work(H6)
court	4	4,10	yes	residence(H4); government(H10)
court tennis	5	5	no	tennis(H5)
covenant	7	7	no	agreement(H7)
cover	8	8	no	hidden(H8)
cover letter	3	3	no	letter(H3)
cover up	8	8	no	hidden(H8)
covering letter	3	3	no	letter(H3)
coziness	4	4	no	comfort(H4)
crack	3	3	no	effort(H3)
cradle	4	4	no	roots(H4)
craft	3	3,4,6,7,10	yes	skill(H3); vehicle(H4); job(H6); trade(H7); occupation(H10)
craftsmanship	3	3	no	skill(H3)
crank letter	3	3	no	letter(H3)
crash	8	8	no	accident(H8)
craving	11	11	no	desire(H11)
creation	1	1	no	beginning(H1)
creationism	9	9	no	philosophy(H9)
creative thinker	5	5	no	intellect(H5)
creative thinking	5	5	no	creativity(H5)
creativeness	5	5	no	creativity(H5)
creativity	5	5	no	creativity(H5)
creche	12	12	no	hospital(H12)
credit	10	10	no	achievement(H10)
credo	9	9	no	philosophy(H9)
creed	9	9	no	philosophy(H9)
crewman	6	6	no	employee(H6)
crib death	8	8	no	death(H8)
cricket	5	5	no	cricket(H5)
criminal possession	2	2	no	possession(H2)
criminal suit	6	6	no	lawsuit(H6)
criticism	3	3	no	writing(H3)
crony	3	3,11	yes	brother(H3); friend(H11)
crop	11	11	no	yield(H11)
crossover	6	6	no	borrowing(H6)
crossroads	11	11	no	community(H11)
crown	10	10	no	honor(H10)
crown land	4	4	no	estate(H4)
crown princess	7	7	no	wife(H7)
crud	6	6	no	disease(H6)
cruiser	4	4	no	car(H4)
crush	5	5	no	infatuation(H5)
cryopathy	6	6	no	injury(H6)
cryptogram	3	3	no	writing(H3)
cryptograph	3	3	no	writing(H3)
cuckold	7	7	no	husband(H7)
cuckoldom	7	7	no	marriage(H7)
cult	9	9	no	religion(H9); faith(H9)
cultivated land	4	4	no	land(H4); soil(H4)
culture medium	2	2	no	food(H2)
cultus	9	9	no	religion(H9); faith(H9)
cur	6	6	no	dog(H6)
curling	5	5	no	game(H5)
cursive	3	3	no	hand(H3)
cursive script	3	3	no	hand(H3)
curtailment	2	2	no	savings(H2)
curtain raiser	5	5	no	play(H5)
curvature	10	10	no	status(H10)
custody	12	12	no	confinement(H12)
custody battle	6	6	no	litigation(H6)
custom	6	6,7	yes	duty(H6); trade(H7)
customer	7	7	no	client(H7); customer(H7)
customer agent	7	7	no	buyer(H7)
customs	6	6	no	duty(H6)
customs duty	6	6	no	duty(H6)
cutting edge	10	10	no	position(H10)
cyanide group	11	11	no	group(H11)
cyanide radical	11	11	no	group(H11)
cyano group	11	11	no	group(H11)
cyano radical	11	11	no	group(H11)
cycle	4	4	no	bike(H4)
cycling	5	5	no	sport(H5)
cystic breast disease	6	6	no	disease(H6)
cystic mastitis	6	6	no	disease(H6)
dad	9	9	no	father(H9); dad(H9)
dada	9	9	no	father(H9); dad(H9)
daddy	9	9	no	father(H9); dad(H9)
daily	3	3	no	newspaper(H3)
daleth	3	3	no	letter(H3)
dalmatian	6	6	no	dog(H6)
dance master	9	9	no	teacher(H9)
dancing partner	7	7	no	partner(H7)
dancing-master	9	9	no	teacher(H9)
danger	10	10	no	status(H10)
dark	10	10	no	status(H10)
darkness	1	1,10	yes	complexion(H1); status(H10)
darling	5	5,6	yes	lover(H5); pet(H6)
dasheen	4	4	no	roots(H4)
data-storage medium	3	3	no	media(H3)
date	5	5	no	dating(H5)
date stamp	5	5	no	dating(H5)
dating	5	5	no	dating(H5)
dauntlessness	3	3	no	courage(H3)
daydream	12	12	no	dream(H12)
daydreaming	12	12	no	dream(H12)
daze	8	8	no	shock(H8)
dead body	1	1	no	body(H1)
dead hand	4	4	no	real estate(H4)
dead letter	3	3	no	letter(H3)
dead mail	3	3	no	letter(H3)
deal	7	7	no	agreement(H7); deal(H7)
dealer	4	4,7	yes	house(H4); seller(H7)
deanery	4	4	no	residence(H4)
dear	5	5	no	lover(H5)
dearest	5	5	no	lover(H5)
dearie	5	5,6	yes	lover(H5); pet(H6)
deary	5	5,6	yes	lover(H5); pet(H6)
death	8	8	no	death(H8)
debt	6	6	no	debt(H6)
debt ceiling	6	6	no	debt(H6)
debt limit	6	6	no	debt(H6)
decease	8	8	no	death(H8)
decipherer	5	5	no	intellect(H5)
declaration	7	7	no	contract(H7)
declension	2	2	no	family(H2)
declination	10	10	no	status(H10)
decline	10	10	no	status(H10)
decoder	5	5	no	intellect(H5)
decompression sickness	6	6	no	illness(H6); sickness(H6)
decoration	10	10	no	honor(H10)
decorativeness	1	1	no	appearance(H1)
deepness	9	9	no	wisdom(H9)
default	12	12	no	loss(H12)
defect	1	1	no	appearance(H1)
defection	12	12	no	renunciation(H12)
deficiency disease	6	6	no	disease(H6)
deformity	1	1	no	appearance(H1)
defunctness	8	8	no	death(H8)
degeneration	8	8	no	transformation(H8)
degree	4	4,10	yes	property(H4); honor(H10)
degustation	2	2	no	eating(H2)
deification	10	10	no	status(H10)
deliverance	2	2	no	savings(H2)
deliverer	6	6	no	employee(H6)
delivery	2	2	no	savings(H2)
delivery boy	6	6	no	employee(H6)
deliveryman	6	6	no	employee(H6)
delta	3	3	no	letter(H3)
deluge	7	7	no	deal(H7)
demand	6	6,10	yes	duty(H6); status(H10)
demand loan	6	6	no	loan(H6)
demesne	4	4	no	land(H4); estate(H4); real estate(H4)
democracy	9	9	no	philosophy(H9)
demonstration	5	5	no	show(H5)
demonstrator	9	9	no	teacher(H9)
denomination	2	2	no	family(H2)
departure	8	8	no	death(H8)
depilation	10	10	no	status(H10)
deportation	12	12	no	exile(H12)
deportee	12	12	no	exile(H12)
deposit	2	2	no	deposit(H2)
deposition	2	2	no	deposit(H2)
depth	9	9	no	wisdom(H9)
derivation	4	4,8	yes	roots(H4); inheritance(H8)
derring-do	3	3	no	effort(H3)
descender	3	3	no	letter(H3)
descriptivism	9	9	no	philosophy(H9)
desert soil	4	4	no	soil(H4)
desertic soil	4	4	no	soil(H4)
deshabille	10	10	no	status(H10)
design	5	5	no	creativity(H5)
desire	11	11	no	desire(H11)
despair	10	10	no	status(H10)
desperation	10	10	no	status(H10)
destiny	9	9	no	luck(H9)
detached house	4	4	no	house(H4)
detachment	12	12	no	isolation(H12)
detainment	12	12	no	confinement(H12)
detective story	8	8	no	mystery(H8)
detention	12	12	no	confinement(H12)
detrition	3	3	no	effort(H3)
developmental learning	5	5	no	learning(H5)
device characteristic	4	4	no	property(H4)
devise	8	8	no	inheritance(H8)
devotee	5	5	no	lover(H5)
devotional	6	6	no	service(H6)
devour	2	2	no	eating(H2)
dharma	9	9	no	dharma(H9)
diabetic diet	2	2	no	diet(H2)
dialectic	9	9	no	philosophy(H9)
dialogue	7	7	no	negotiation(H7)
diary	3	3	no	writing(H3)
diaspora	1	1	no	body(H1)
dice	5	5	no	gambling(H5)
dictation	2	2	no	speech(H2)
didacticism	3	3	no	communication(H3)
didactics	5	5	no	education(H5)
diet	2	2	no	diet(H2)
dietary supplement	2	2	no	diet(H2)
difficulty	3	3,10	yes	effort(H3); status(H10)
dig in	2	2	no	eating(H2)
digestion	5	5	no	learning(H5)
dignity	10	10	no	status(H10)
digram	3	3	no	letter(H3)
digraph	3	3	no	letter(H3)
dika bread	2	2	no	food(H2)
diligence	3	3	no	effort(H3)
dine	2	2	no	eating(H2)
dine in	2	2	no	eating(H2)
dine out	2	2	no	eating(H2)
dinero	2	2	no	money(H2)
dining	2	2	no	eating(H2)
dining-room attendant	6	6	no	employee(H6)
dip	2	2	no	eating(H2)
diplomacy	7	7,9	yes	negotiation(H7); wisdom(H9)
diplomatic negotiations	7	7	no	negotiation(H7)
direct loan	6	6	no	loan(H6)
director	10	10	no	manager(H10)
dirt	4	4,8	yes	soil(H4); scandal(H8)
dirt bike	4	4	no	bike(H4)
disbursal	12	12	no	expense(H12)
disbursement	12	12	no	expense(H12)
disburser	7	7	no	client(H7); customer(H7)
discernment	9	9	no	wisdom(H9)
disclaimer	12	12	no	renunciation(H12)
discoloration	1	1	no	appearance(H1)
discolouration	1	1	no	appearance(H1)
discomfort	10	10	no	status(H10)
discourse	2	2,3	yes	speech(H2); communication(H3)
discretion	9	9	no	wisdom(H9)
discussion	2	2,3	yes	speech(H2); communication(H3)
disease	6	6	no	illness(H6); disease(H6); sickness(H6)
disengagement	12	12	no	retreat(H12)
disfiguration	1	1	no	appearance(H1)
disfigurement	1	1	no	appearance(H1)
disguise	8	8	no	hidden(H8)
dishabille	10	10	no	status(H10)
dislocation	6	6	no	injury(H6)
disorder	10	10	no	status(H10)
disorderliness	10	10	no	status(H10)
disowning	12	12	no	renunciation(H12)
disownment	12	12	no	renunciation(H12)
dispatcher	6	6	no	employee(H6)
display	3	3,5	yes	communication(H3); show(H5)
disposable income	2	2	no	income(H2)
disposition	4	4	no	property(H4)
dissuasion	3	3	no	communication(H3)
distraction	5	5	no	entertainment(H5)
distress	6	6	no	pain(H6)
distribution agreement	7	7	no	contract(H7)
distributor	10	10	no	authority(H10)
district manager	10	10	no	manager(H10)
dithyramb	2	2,3	yes	speech(H2); writing(H3)
diversification	10	10	no	status(H10)
diversity	10	10	no	status(H10)
dividend	2	2,11	yes	earnings(H2); profit(H11); bonus(H11)
divination	5	5	no	speculation(H5)
divine right	9	9	no	philosophy(H9)
divine service	6	6	no	service(H6)
docent	9	9	no	teacher(H9)
doctrine	9	9	no	philosophy(H9)
doctrine of analogy	9	9	no	religion(H9); faith(H9)
docudrama	5	5	no	movie(H5); film(H5)
document	3	3	no	communication(H3); writing(H3)
documentary	5	5	no	movie(H5); film(H5)
documentary film	5	5	no	movie(H5); film(H5)
dodgem	4	4	no	vehicle(H4)
dog	6	6	no	dog(H6)
dog catcher	6	6	no	employee(H6)
dog show	5	5	no	show(H5)
doggie	6	6	no	dog(H6)
doggy	6	6	no	dog(H6)
dogma	9	9	no	philosophy(H9)
doll's house	4	4	no	house(H4)
dollhouse	4	4	no	house(H4)
domain	4	4	no	land(H4)
domestic cat	6	6	no	cat(H6)
domestic dog	6	6	no	dog(H6)
domicile	4	4	no	home(H4); dwelling(H4); residence(H4)
dominance	10	10	no	status(H10); authority(H10)
don	9	9	no	teacher(H9)
donation	12	12	no	donation(H12)
donkeywork	6	6	no	labor(H6)
double dipping	2	2	no	income(H2)
double time	2	2	no	earnings(H2)
double-date	5	5	no	dating(H5)
double-u	3	3	no	letter(H3)
doubles	5	5	no	tennis(H5)
doubter	5	5	no	intellect(H5)
dough	2	2	no	money(H2)
down	2	2	no	eating(H2)
downing street	10	10	no	government(H10)
downsizing	2	2	no	savings(H2)
drafting	3	3,7	yes	writing(H3); trade(H7)
drama	5	5	no	play(H5)
dramatic art	3	3	no	communication(H3)
dramatic composition	3	3	no	writing(H3)
dramatic play	5	5	no	play(H5)
dramatic work	3	3	no	writing(H3)
dramatics	3	3	no	communication(H3)
dramatisation	3	3	no	writing(H3)
dramatization	3	3	no	writing(H3)
dramaturgy	3	3	no	communication(H3)
dream	10	10,11,12	yes	ambition(H10); desire(H11); aspiration(H11); dream(H12)
dreaming	12	12	no	dream(H12)
dregs	2	2	no	deposit(H2)
dressmaking	7	7	no	trade(H7)
drink	2	2	no	food(H2)
drinkable	2	2	no	food(H2)
drollery	5	5	no	fun(H5)
drover	3	3	no	hand(H3)
drudgery	6	6	no	labor(H6)
drug baron	10	10	no	boss(H10)
drug lord	10	10	no	boss(H10)
dryness	10	10	no	status(H10)
dualism	9	9	no	philosophy(H9)
duality	4	4	no	property(H4)
duchy	4	4	no	land(H4)
ducky	5	5,6	yes	lover(H5); pet(H6)
dukedom	4	4,10	yes	land(H4); rank(H10)
dunk	2	2	no	eating(H2)
duomo	9	9	no	church(H9)
duplex	4	4	no	house(H4)
duplex house	4	4	no	house(H4)
duskiness	1	1	no	complexion(H1)
dutch courage	3	3	no	courage(H3)
duty	6	6	no	work(H6); duty(H6)
duty assignment	6	6	no	duty(H6)
dwell	4	4	no	dwelling(H4)
dwelling	4	4	no	home(H4); dwelling(H4)
dwelling house	4	4	no	home(H4); dwelling(H4)
dynamism	9	9	no	philosophy(H9)
dysmenorrhea	6	6	no	pain(H6)
earldom	4	4,10	yes	land(H4); rank(H10)
earning per share	2	2,11	yes	earnings(H2); profit(H11)
earnings	2	2,11	yes	income(H2); earnings(H2); profit(H11)
earth	8	8	no	hidden(H8)
ease	4	4	no	comfort(H4)
easy money	2	2	no	income(H2)
eat	2	2	no	eating(H2)
eat in	2	2	no	eating(H2)
eat out	2	2	no	eating(H2)
eat up	2	2	no	eating(H2)
eatable	2	2	no	food(H2)
eating	2	2	no	eating(H2)
ebitda	2	2	no	income(H2)
ecclesiasticism	9	9	no	religion(H9); faith(H9)
eccyesis	5	5	no	pregnancy(H5)
eclipse	8	8	no	occult(H8)
ecological niche	10	10	no	status(H10)
economic condition	10	10	no	status(H10)
economic rent	11	11	no	yield(H11)
economics profession	10	10	no	profession(H10)
economise	7	7	no	husband(H7)
economize	7	7	no	husband(H7)
economy	2	2	no	savings(H2)
economy of scale	2	2	no	savings(H2)
ectopic gestation	5	5	no	pregnancy(H5)
ectopic pregnancy	5	5	no	pregnancy(H5)
eddo	4	4	no	roots(H4)
edibility	4	4	no	property(H4)
edible	2	2	no	food(H2)
edibleness	4	4	no	property(H4)
editing	3	3	no	writing(H3)
edition	11	11	no	group(H11)
education	5	5,10	yes	learning(H5); education(H5); profession(H10)
educational activity	5	5	no	education(H5)
edutainment	5	5	no	entertainment(H5)
effect	1	1	no	appearance(H1)
effort	3	3,6,10	yes	effort(H3); labor(H6); achievement(H10)
egalitarianism	9	9	no	philosophy(H9)
egghead	5	5	no	intellect(H5)
ego	1	1	no	self(H1); ego(H1)
egotism	1	1	no	ego(H1)
egress	1	1	no	beginning(H1)
eighteenth	10	10	no	rank(H10)
eighth	10	10	no	rank(H10)
eightieth	10	10	no	rank(H10)
einstein	5	5	no	intellect(H5)
elaborateness	1	1	no	appearance(H1)
elan vital	1	1	no	vitality(H1)
elbow grease	3	3,6	yes	effort(H3); labor(H6)
elder brother	11	11	no	elder brother(H11)
elder sister	11	11	no	elder sister(H11)
election	10	10	no	status(H10)
electoral college	1	1	no	body(H1)
electric	4	4	no	car(H4)
electric automobile	4	4	no	car(H4)
electric car	4	4	no	car(H4)
electric shock	6	6,8	yes	injury(H6); shock(H8)
electrical shock	8	8	no	shock(H8)
electrical work	7	7	no	trade(H7)
electrodeposition	2	2	no	deposit(H2)
electron shell	11	11	no	group(H11)
elementary education	5	5	no	education(H5)
eleventh	10	10	no	rank(H10)
emergence	1	1	no	beginning(H1)
emirate	4	4	no	land(H4)
emmy	10	10	no	honor(H10)
empire	4	4,10	yes	land(H4); government(H10)
empirical research	8	8	no	research(H8)
empiricism	8	8	no	investigation(H8)
employee	6	6	no	employee(H6)
employment	6	6,10	yes	work(H6); job(H6); occupation(H10)
employment agreement	7	7	no	contract(H7)
employment contract	7	7	no	contract(H7)
emptiness	10	10	no	status(H10)
emptor	7	7	no	client(H7); customer(H7); buyer(H7)
emulation	10	10,11,12	yes	ambition(H10); aspiration(H11); dream(H12)
encapsulation	10	10	no	status(H10)
encouragement	11	11	no	hope(H11)
encyclical	3	3	no	letter(H3)
encyclical letter	3	3	no	letter(H3)
encyclopaedism	5	5	no	learning(H5); education(H5)
encyclopedism	5	5	no	learning(H5); education(H5)
end man	11	11	no	friend(H11)
endaemonism	9	9	no	ethics(H9)
endeavor	3	3	no	effort(H3)
endeavour	3	3	no	effort(H3)
endemic	6	6	no	disease(H6)
endemic disease	6	6	no	disease(H6)
endogamy	7	7	no	marriage(H7)
endorsement	10	10	no	promotion(H10)
endowment	3	3	no	talent(H3)
enemy	6	6	no	enemy(H6); competitor(H6); rival(H6)
energy	1	1	no	vitality(H1)
engagement	6	6	no	work(H6)
engineering	10	10	no	profession(H10)
english professor	9	9	no	teacher(H9)
english teacher	9	9	no	teacher(H9)
englut	2	2	no	eating(H2)
engorge	2	2	no	eating(H2)
engorgement	2	2	no	eating(H2)
enigma	8	8	no	mystery(H8); secret(H8)
enlightenment	5	5	no	education(H5)
enlisting	10	10	no	achievement(H10)
ennoblement	10	10	no	status(H10); promotion(H10)
enquiry	8	8	no	research(H8); investigation(H8)
enrollment	1	1	no	body(H1)
enshroud	8	8	no	hidden(H8)
entail	4	4	no	estate(H4)
entente	7	7	no	agreement(H7)
entente cordiale	7	7	no	agreement(H7)
enteropathy	6	6	no	disease(H6)
entertainment	5	5	no	entertainment(H5)
entopic pregnancy	5	5	no	pregnancy(H5)
entr'acte	5	5	no	show(H5)
entrance exam	5	5	no	exam(H5)
entrance examination	5	5	no	exam(H5)
enumeration	8	8	no	investigation(H8)
environmental condition	10	10	no	status(H10)
epicureanism	9	9	no	philosophy(H9)
epilation	12	12	no	loss(H12)
episode	5	5	no	film(H5)
epistemology	9	9	no	philosophy(H9)
epistle	3	3	no	letter(H3)
epsilon	3	3	no	letter(H3)
equal	6	6	no	rival(H6)
equalitarianism	9	9	no	philosophy(H9)
equality	10	10	no	status(H10)
equation	10	10	no	status(H10)
equitation	5	5	no	sport(H5)
equity credit line	6	6	no	loan(H6)
equivalence	10	10	no	status(H10)
eros	11	11	no	desire(H11)
eruditeness	5	5	no	learning(H5); education(H5)
erudition	5	5	no	learning(H5); education(H5)
esoterica	8	8	no	secret(H8)
espionage network	11	11	no	network(H11)
espousal	7	7,9	yes	marriage(H7); wedding(H7); blessing(H9)
essay	3	3	no	effort(H3); writing(H3)
established church	9	9	no	religion(H9); faith(H9)
establishment	1	1	no	body(H1); constitution(H1)
establishmentarianism	9	9	no	philosophy(H9)
establishmentism	9	9	no	philosophy(H9)
estate	4	4	no	property(H4); estate(H4); real estate(H4)
estate car	4	4	no	car(H4)
estate for life	4	4	no	estate(H4)
esteem	10	10	no	honor(H10)
esthetics	9	9	no	philosophy(H9)
estimated tax return	11	11	no	return(H11)
estrangement	12	12	no	isolation(H12)
eta	3	3	no	letter(H3)
eternal rest	8	8	no	death(H8)
eternal sleep	8	8	no	death(H8)
ether	3	3	no	media(H3)
ethic	9	9	no	ethics(H9)
ethical motive	9	9	no	ethics(H9); morality(H9)
ethicism	9	9	no	philosophy(H9)
ethics	9	9	no	philosophy(H9); ethics(H9); morality(H9)
ethnic group	11	11	no	group(H11)
ethnos	11	11	no	group(H11)
etiolation	1	1	no	appearance(H1)
etiology	9	9	no	philosophy(H9)
eubstance	4	4	no	property(H4)
eudaemonia	1	1	no	wellbeing(H1)
eudaimonia	1	1	no	wellbeing(H1)
eudemonism	9	9	no	ethics(H9)
european house cricket	5	5	no	cricket(H5)
evaluator	10	10	no	authority(H10)
evaporite	2	2	no	deposit(H2)
even chance	2	2,9	yes	fortune(H2); luck(H9); fortune(H9)
ex	3	3	no	letter(H3)
exam	3	3,5	yes	communication(H3); exam(H5)
exam paper	5	5	no	exam(H5)
examination	3	3,5,8	yes	communication(H3); exam(H5); investigation(H8)
examination paper	5	5	no	exam(H5)
exanthema subitum	6	6	no	disease(H6)
excogitation	5	5	no	creativity(H5)
excruciation	6	6	no	pain(H6)
executive routine	6	6	no	routine(H6)
exercise	3	3	no	effort(H3)
exercising	3	3	no	effort(H3)
exertion	3	3,6	yes	effort(H3); labor(H6)
exhibit	5	5	no	show(H5)
exhortation	3	3	no	communication(H3)
exile	12	12	no	exile(H12)
exit	8	8	no	death(H8)
exogamy	7	7	no	marriage(H7)
exoneration	10	10	no	status(H10)
expansionism	9	9	no	philosophy(H9)
expat	12	12	no	exile(H12)
